name,selling_price
Maruti Swift Dzire VDI,450000
Skoda Rapid 1.5 TDI Ambition,370000
Honda City 2017-2020 EXi,158000
Hyundai i20 Sportz Diesel,225000
Maruti Swift VXI BSIII,130000
Hyundai Xcent 1.2 VTVT E Plus,440000
Maruti Wagon R LXI DUO BSIII,96000
Maruti 800 DX BSII,45000
Toyota Etios VXD,350000
Ford Figo Diesel Celebration Edition,200000
Renault Duster 110PS Diesel RxL,500000
Maruti Zen LX,92000
Maruti Swift Dzire VDi,280000
Maruti Swift 1.3 VXi,200000
Maruti Wagon R LXI Minor,180000
Mahindra KUV 100 mFALCON G80 K8 5str,400000
Maruti Ertiga SHVS VDI,778000
Hyundai i20 1.4 CRDi Asta,500000
Maruti Alto LX,150000
Hyundai i20 2015-2017 Asta 1.4 CRDi,680000
Mahindra Verito 1.5 D4 BSIII,174000
Honda WR-V i-DTEC VX,950000
Maruti Swift Dzire ZDI,525000
Maruti SX4 ZDI,600000
Tata Tigor 2017-2020 XZ,500000
Maruti Baleno Delta 1.2,575000
Maruti Alto 800 LXI,275000
Chevrolet Enjoy TCDi LTZ 7 Seater,300000
Maruti Wagon R LXI Minor,220000
Maruti Omni E MPI STD BS IV,254999
Maruti Vitara Brezza LDi Option,670000
Fiat Palio 1.2 ELX,70000
Maruti Omni 8 Seater BSIV,150000
Hyundai i20 1.2 Asta Dual Tone,730000
Maruti Vitara Brezza LDi,650000
Maruti Alto 800 CNG LXI Optional,330000
Maruti Alto K10 VXI Airbag,366000
Hyundai Verna VTVT 1.6 SX Option,1149000
Datsun GO D,150000
Tata Safari DICOR 2.2 LX 4x2,425000
Maruti 800 Std,150000
Jeep Compass 1.4 Limited Plus BSIV,2100000
Honda City i VTEC VX,925000
Honda City V MT,425000
Maruti Swift Dzire VXi AT,675000
Maruti Vitara Brezza VDi,819999
Maruti Alto K10 VXI,390000
Toyota Fortuner 4x4 MT,1500000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000
Mercedes-Benz B Class B180,1450000
Honda Amaze S Diesel,425000
Mitsubishi Pajero Sport 4X4,1090000
Honda City i DTEC S,600000
Maruti Ciaz Zeta,850000
Honda Jazz VX Diesel,525000
Toyota Innova Crysta 2.8 ZX AT BSIV,1650000
Toyota Innova 2.5 G (Diesel) 7 Seater,950000
Audi A6 2.0 TDI Technology,1750000
Toyota Corolla Altis 1.8 VL CVT,1590000
Audi A6 2.0 TDI  Design Edition,1689999
Mercedes-Benz New C-Class 220 CDI AT,1425000
Tata Manza ELAN Quadrajet BS IV,265000
Hyundai i10 Magna,190000
Hyundai i20 Asta 1.4 CRDi,425000
Maruti Swift Dzire ZDI,630000
Ford Figo 1.2P Titanium MT,600000
Maruti Baleno Delta 1.2,650000
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,540000
Honda City i DTEC VX,630000
Maruti Wagon R AMT VXI,448000
Volkswagen Ameo 1.5 TDI Comfortline,500000
Maruti Vitara Brezza VDi,745000
Maruti Vitara Brezza ZDi Plus AMT,1025000
Hyundai i10 Magna,235000
Maruti Swift VDI Deca,630000
Toyota Fortuner 4x4 MT,1700000
Maruti Swift Star VDI,450000
Maruti Ertiga ZXI,450000
Tata Indica DLS,50000
Volkswagen Vento Diesel Highline,450000
Toyota Innova 2.5 VX (Diesel) 8 Seater,1200000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,610000
BMW X1 sDrive20i xLine,2500000
Maruti Celerio ZXI MT BSIV,484999
Datsun GO A Petrol,275000
Maruti Alto 800 VXI BSIV,315000
Maruti Alto 800 LXI BSIV,275000
Maruti Swift VDI BSIV W ABS,475000
Hyundai i10 Era 1.1,290000
Maruti Omni 8 Seater BSIV,280000
Maruti Wagon R LXI LPG BSIV,225000
Volkswagen Polo 1.2 MPI Comfortline,455000
Hyundai i10 Magna 1.1L,351000
Volkswagen Vento Petrol Highline,535000
Maruti Zen Estilo LXI BSIII,175000
Hyundai i20 Asta Optional with Sunroof 1.2,525000
Maruti Swift Dzire LDI,600000
Hyundai Xcent 1.2 Kappa SX Option AT,565000
Maruti Alto LX BSIII,120000
Hyundai i20 1.4 Asta Option,725000
Maruti Wagon R VXI,185000
Tata Manza Aura (ABS) Quadrajet,200000
Maruti Swift VXI,615000
Maruti Eeco 7 Seater Standard BSIV,270000
Maruti Baleno Zeta 1.2,610000
Mahindra Scorpio VLX AT AIRBAG BSIV,625000
Ford Freestyle Titanium Petrol BSIV,400000
Hyundai Verna VTVT 1.6 SX,866000
Volkswagen Passat 1.8 TSI MT,700000
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,300000
Mahindra XUV500 W11 Option AWD,1700000
Tata Indigo CS LS (TDI) BS-III,375000
Hyundai Verna 1.6 SX,522000
Hyundai i20 Magna 1.4 CRDi (Diesel),451999
Toyota Corolla Altis G,300000
Maruti Celerio VXI,475000
Maruti Vitara Brezza ZDi Plus Dual Tone,780000
Maruti Swift Dzire VXI,595000
Maruti Wagon R VXI BS IV,440000
Maruti Swift VDI BSIV,300000
Nissan Terrano XL 85 PS,400000
Hyundai Creta 1.6 CRDi SX,1140000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,850000
Maruti Swift Dzire VDi,370000
Renault KWID 1.0,350000
Maruti Celerio VXI,360000
Maruti Alto LXi,105000
Maruti Ertiga VDI,625000
Hyundai Santro Xing GLS,135000
Maruti Ertiga VDI,700000
Honda Amaze S i-VTEC,690000
Audi Q5 35TDI Premium Plus,3975000
Lexus ES 300h,5150000
Jaguar XF 2.0 Diesel Portfolio,3200000
Jeep Wrangler 2016-2019 3.6 4X4,4100000
Land Rover Discovery Sport TD4 SE,4500000
Mercedes-Benz S-Class S 350 CDI,6000000
BMW 5 Series 520d Sport Line,3790000
BMW X1 sDrive 20D xLine,2150000
BMW X4 M Sport X xDrive20d,5800000
Skoda Superb LK 1.8 TSI AT,1864999
Mercedes-Benz E-Class E250 Edition E,2700000
MG Hector Sharp AT BSIV,1750000
Honda City i-VTEC CVT VX,795000
Toyota Corolla Altis 1.8 G CVT,625000
Volvo XC40 D4 R-Design,3400000
Audi Q7 35 TDI Quattro Premium,2650000
Maruti Ciaz ZDi,535000
Mercedes-Benz S-Class S 350 CDI,5850000
BMW 5 Series 523i,975000
Hyundai Elantra S,805000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,811000
Volkswagen Vento Petrol Highline,375000
Hyundai Elantra SX,550000
Skoda Rapid 1.6 MPI AT Elegance,645000
Mercedes-Benz CLA 200 CGI Sport,2550000
Maruti Ertiga ZXI,599000
Mercedes-Benz New C-Class C 200 AVANTGARDE,2700000
Honda City V AT,875000
Toyota Glanza V CVT,894999
Maruti Alto K10 VXI,175000
Maruti Swift VXI,340000
Toyota Innova Crysta 2.8 ZX AT BSIV,1525000
Tata Nexon 1.5 Revotorq XZA Plus DualTone,1025000
BMW 3 Series 320d Luxury Line,2150000
Toyota Camry 2.5 Hybrid,1900000
BMW 5 Series 520d Luxury Line,2900000
